Player,surface,AvgFirstServe,AvgSecondServe,FirstServeIn,L,LoseRatio,MatchCount,RatioPtsLess4,ServeFirstServePointsWon,ServeSecondServePointsWon,Total,W,WinRatio
Robin Haase,Hard,183,150.9,58.1,76,0.347031963,12,72.5,70.4,48.4,219,143,65.3
Tommy Haas,Hard,171.6,155,58,54,0.252336449,12,72.7,59,67.8,214,160,74.8
Florian Mayer,Hard,183.6,140.4,62.4,51,0.265625,13,75.2,62,53.4,192,141,73.4
Gilles Muller,Hard,185.3,158.4,58.3,38,0.158995816,13,75.5,82,59.4,239,201,84.1
Joao Sousa,Hard,180.2,144.6,62.9,65,0.286343612,13,73.3,68.4,52,227,162,71.4
Leonardo Mayer,Hard,190.7,164.7,60.5,56,0.269230769,13,73.3,68.7,58.5,208,152,73.1
Lucas Pouille,Hard,185.9,149.9,54.9,56,0.214559387,13,70.9,72.3,58.5,261,205,78.5
Santiago Giraldo,Hard,184.3,151.6,57.6,71,0.324200913,13,62.4,69.9,50.1,219,148,67.6
Marcel Granollers,Hard,191.5,146.5,57.9,71,0.325688073,14,67.7,66.3,55.9,218,147,67.4
Mikhail Youzhny,Hard,169.7,150.6,58.1,64,0.258064516,14,71.5,63.4,54,248,184,74.2
Denis Istomin,Hard,184.1,140.3,65.7,69,0.234693878,15,75,71.8,48.2,294,225,76.5
Jerzy Janowicz,Hard,195.5,157.4,62.5,69,0.239583333,15,65.3,68.8,59.2,288,219,76
Adrian Mannarino,Hard,172.5,137,60.7,86,0.315018315,16,69.5,67.8,55.5,273,187,68.5
Guillermo Garcia Lopez,Hard,180.3,140.9,54.3,61,0.214788732,16,64.5,75.1,57.9,284,223,78.5
Nicolas Mahut,Hard,183.5,148.7,59,71,0.279527559,16,67.5,69.3,55.8,254,183,72
Paolo Lorenzi,Hard,183.9,140,56.6,75,0.286259542,16,73.3,72.6,55.8,262,187,71.4
Ryan Harrison,Hard,191.9,166,54.8,78,0.287822878,16,70.8,71.9,53.4,271,193,71.2
Julien Benneteau,Hard,182.8,150,60.1,82,0.241887906,18,72.7,69.5,54,339,257,75.8
Viktor Troicki,Hard,187.2,143.8,61.2,80,0.243902439,18,71.4,70.6,52.7,328,248,75.6
Benoit Paire,Hard,185.2,146.8,53,95,0.260273973,19,69.4,72.5,55.9,365,270,74
Steve Johnson,Hard,187.6,154.3,58.9,66,0.1875,19,76,75.3,57.9,352,286,81.2
Tommy Robredo,Hard,184.3,151.6,65.6,55,0.161764706,19,76.5,74.8,63.5,340,285,83.8
Alexandr Dolgopolov,Hard,178.9,141.6,54.7,89,0.243835616,20,73.5,73.8,53.6,365,276,75.6
Fabio Fognini,Hard,172.3,137.6,55,104,0.291316527,20,67.4,70.7,58.1,357,253,70.9
Jeremy Chardy,Hard,191.7,160.9,60.4,87,0.252173913,20,70.3,71.8,54.9,345,258,74.8
Roberto Bautista Agut,Hard,171,144.1,64.8,77,0.213888889,20,79.3,71.3,55.6,360,283,78.6
Janko Tipsarevic,Hard,182.5,143.5,52.3,67,0.171794872,21,76,81,59.5,390,323,82.8
Lleyton Hewitt,Hard,165.3,137,53.1,102,0.245783133,21,69.4,68.8,57.2,415,313,75.4
Donald Young,Hard,170.6,142.3,61.3,129,0.323308271,23,68.5,66,55.5,399,270,67.7
Nicolas Almagro,Hard,193.3,148.9,54,79,0.184149184,23,76.3,72.4,54.5,429,350,81.6
Jack Sock,Hard,184.3,163.7,60.8,80,0.1937046,24,76.2,74.9,62.1,413,333,80.6
Nick Kyrgios,Hard,196.7,161.2,63.1,70,0.154525386,24,77.3,76.2,61.9,453,383,84.5
Andreas Seppi,Hard,183.2,143.1,56.1,103,0.198458574,25,73.4,76.7,55.1,519,416,80.2
David Goffin,Hard,173.9,139,55.3,102,0.237209302,25,75.9,72.9,57.5,430,328,76.3
Dominic Thiem,Hard,181.7,151.7,60,77,0.169603524,25,74.9,74.9,58.2,454,377,83
Marcos Baghdatis,Hard,183.9,145.8,50.5,104,0.232662192,26,73.2,73.1,53.4,447,343,76.7
Fernando Verdasco,Hard,181.7,148.8,63,111,0.211832061,28,73.1,71.4,52.7,524,413,78.8
Sam Querrey,Hard,197.5,151.2,57.1,79,0.150190114,29,77.1,79.8,59.5,526,447,85
Feliciano Lopez,Hard,195.1,162.4,56,113,0.197207679,31,73.3,75.7,55.2,573,460,80.3
Philipp Kohlschreiber,Hard,179,148,60.3,80,0.158415842,31,74.4,74,58.1,505,425,84.2
Gilles Simon,Hard,174.5,133.9,60.6,139,0.223113965,32,75.2,71.4,60.4,623,484,77.7
Grigor Dimitrov,Hard,189.4,147.4,62.3,108,0.187175043,32,74.7,76.3,57.5,577,469,81.3
Bernard Tomic,Hard,178.5,144.9,65.9,114,0.187192118,33,77.2,75.5,50.4,609,495,81.3
Kevin Anderson,Hard,198.5,167.4,64.7,91,0.138508371,36,79.9,78.7,60.9,657,566,86.1
Juan Martin Del Potro,Hard,191.9,151.6,64,95,0.144596651,39,80.5,78.4,58.9,657,562,85.5
John Isner,Hard,201.9,173.8,68.6,66,0.076300578,43,80.2,82.9,65.7,865,799,92.4
Gael Monfils,Hard,184.3,153.3,61.5,147,0.19266055,44,74.6,75,60.9,763,616,80.7
